name,reviews,rating,address,postcode,price range,amenities
Hotel Cotton House,49,4.5,"Gran Via de les Corts Catalanes, 670",08010 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Villa Emilia,25,5.0,"Carrer de Calàbria, 115",08015 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Allowed
Alma Barcelona,28,4.5,"Carrer de Mallorca, 271",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel 1898,77,4.5,"La Rambla, 109",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
The Serras,14,5.0,"Passeig de Colom, 9",08002 Barcelona,High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Barceló Raval,54,4.5,"Rambla del Raval, 17 - 21",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Olivia Balmes,28,4.5,"Carrer de  Balmes, 117",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Casa Fuster,23,4.5,"Passeig de Gràcia, 132",08008 Barcelona,High,Accepts Credit Cards Free Wi-Fi
Hotel Duquesa de Cardona,31,4.5,"Passeig de Colom, 12",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Arts Barcelona,101,4.0,Marina 19-21,08005 Barcelona,High,Accepts Credit Cards Paid Wi-Fi Dogs Not Allowed
Do,13,4.5,"Plaça Reial, 1",08002 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Pulitzer Barcelona,40,4.0,"Carrer Bergara, 8",08002 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Majestic,39,4.0,"Passeig de Gracia, 68",08007 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Renaissance Barcelona Hotel,53,4.0,"Pau Claris, 122",08009 Barcelona,Medium-High,Accepts Credit Cards Paid Wi-Fi Dogs Not Allowed
Hotel Barcelona Universal,41,4.0,"Avinguda Paral-lel, 76",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Claris,30,4.0,"Carrer Pau Claris, 150",08009 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Allowed
Grand Hotel Central,38,4.0,"Vía Laietana, 30",08003 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Wilson,10,5.0,"Avinguda Diagonal, 568",08021 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Casa Bonay,14,4.5,"Gran Via de Les Corts Catalanes, 700",08010 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Renaissance Barcelona Fira Hotel,35,4.0,"Plaza Europa, 50-52",08902 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Praktik,18,4.5,"Carrer de Provença, 279",08037 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Porta Fira,27,4.0,"Plaza Europa, 45",08908 Hospitalet de Llobregat,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Colón,41,4.0,"Avinguda Catedral, 7",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Jazz,21,4.5,"Pelai, 3, Eixample",08001 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
B Hotel,14,4.5,"Gran Via de les Corts Catalanes, 389-391",08015 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hotel Catalonia Catedral,7,5.0,"Carrer dels Arcs, 10",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Arai Aparthotel,10,4.5,"Carrer d'Avinyó, 30",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Bagués,8,5.0,"La Rambla, 105",08002 Barcelona,High,Accepts Credit Cards Free Wi-Fi Dogs Allowed
K+K Hotel Picasso Barcelona,20,4.5,"Passeig de Picasso, 26",08003 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
The Barcelona EDITION,21,4.0,"Avinguda de Francesc Cambó, 14",08003 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi Dogs Not Allowed
Hotel Mercer,13,4.5,"Carrer dels Lledó, 7",08002 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Hotel Murmuri,17,4.5,"Rambla de Catalunya, 104",08008 Barcelona,Medium-High,Accepts Credit Cards Free Wi-Fi
Banys Oriental,12,4.5,"Carrer de l'Argenteria, 37",08028 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
Hostal Grau Barcelona,16,4.5,"Carrer Ramelleres, 27",08001 Barcelona,Low,Accepts Credit Cards Free Wi-Fi
Aparthotel Silver,11,4.5,"Carrer de Bretón de los Herreros, 26",08012 Barcelona,Medium-Low,Accepts Credit Cards Free Wi-Fi
